user,timestamp,amount
A,2026-01-01 08:15:23,10
A,2026-01-01 08:42:11,25
A,2026-01-02 09:30:45,15
A,2026-01-02 09:55:09,30
A,2026-01-03 18:55:31,12
A,2026-01-03 19:12:17,22
A,2026-01-05 16:45:02,18
A,2026-01-05 17:30:02,40
A,2026-01-07 11:34:10,16
A,2026-01-07 11:50:28,28
B,2026-01-01 09:10:05,8
B,2026-01-01 09:25:44,20
B,2026-01-02 13:25:37,14
B,2026-01-03 08:45:11,35
B,2026-01-03 09:10:59,11
B,2026-01-04 18:32:45,24
B,2026-01-05 10:18:20,27
B,2026-01-05 10:55:33,19
B,2026-01-07 16:55:40,31
B,2026-01-07 17:12:18,13
C,2026-01-01 07:50:42,50
C,2026-01-01 08:12:09,45
C,2026-01-02 19:40:33,17
C,2026-01-03 13:05:20,23
C,2026-01-03 13:22:51,38
C,2026-01-05 15:48:16,21
C,2026-01-05 16:40:45,14
C,2026-01-06 09:55:28,33
C,2026-01-07 12:30:19,26
C,2026-01-08 18:44:57,29
D,2026-01-01 10:33:12,9
D,2026-01-01 10:58:47,18
D,2026-01-03 11:42:30,12
D,2026-01-03 12:05:54,20
D,2026-01-04 14:15:11,25
D,2026-01-05 08:40:09,17
D,2026-01-05 08:58:36,30
D,2026-01-06 17:45:15,22
D,2026-01-07 09:25:50,15
D,2026-01-08 16:12:44,19
E,2026-01-01 06:55:18,60
E,2026-01-01 07:15:42,55
E,2026-01-03 12:28:07,48
E,2026-01-03 13:10:53,52
E,2026-01-05 11:09:34,41
E,2026-01-05 11:25:18,36
E,2026-01-07 08:17:45,44
E,2026-01-07 08:45:59,27
E,2026-01-08 10:48:26,39
E,2026-01-08 11:05:10,31
